year,month,soybeans_export_value,twelve_month_sum
2002,1,794068114,794068114
2002,2,659050185,1453118299
2002,3,345893170,1799011469
2002,4,246909123,2045920592
2002,5,247943895,2293864487
2002,6,249802757,2543667244
2002,7,339539503,2883206747
2002,8,243321058,3126527805
2002,9,191216281,3317744086
2002,10,812436788,4130180874
2002,11,919308934,5049489808
2002,12,701085611,5750575419
2003,1,991310046,5947817351
2003,2,944352353,6233119519
2003,3,588018642,6475244991
2003,4,424072090,6652407958
2003,5,235398657,6639862720
2003,6,221053757,6611113720
2003,7,250246921,6521821138
2003,8,212711390,6491211470
2003,9,230478511,6530473700
2003,10,1246026488,6964063400
2003,11,1457358978,7502113444
2003,12,1164256986,7965284819
2004,1,968427385,7942402158
2004,2,714701271,7712751076
2004,3,674486035,7799218469
2004,4,304579006,7679725385
2004,5,189713599,7634040327
2004,6,210817937,7623804507
2004,7,141448559,7515006145
2004,8,100759947,7403054702
2004,9,303876760,7476452951
2004,10,1053528352,7283954815
2004,11,1070602202,6897198039
2004,12,953920362,6686861415
2005,1,785578490,6504012520
2005,2,843596786,6632908035
2005,3,698225482,6656647482
2005,4,412721537,6764790013
2005,5,315114212,6890190626
2005,6,260911572,6940284261
2005,7,160938521,6959774223
2005,8,210525670,7069539946
2005,9,226293704,6991956890
2005,10,878190446,6816618984
2005,11,909878711,6655895493
2005,12,580244470,6282219601
2006,1,732623108,6229264219
2006,2,719732967,6105400400
2006,3,673898856,6081073774
2006,4,282056498,5950408735
2006,5,270076101,5905370624
2006,6,262376265,5906835317
2006,7,309444780,6055341576
2006,8,326320838,6171136744
2006,9,402749394,6347592434
2006,10,1182460249,6651862237
2006,11,889549580,6631533106
2006,12,897594351,6948882987
2007,1,1092606423,7308866302
2007,2,990018125,7579151460
2007,3,784247691,7689500295
2007,4,575051574,7982495371
2007,5,336040732,8048460002
2007,6,410972130,8197055867
2007,7,329393569,8217004656
2007,8,435126692,8325810510
2007,9,571788118,8494849234
2007,10,1380861708,8693250693
2007,11,1378173182,9181874295
2007,12,1719763106,10004043050
2008,1,1836020708,10747457335
2008,2,1888696804,11646136014
2008,3,1668647250,12530535573
2008,4,1041463163,12996947162
2008,5,780652877,13441559307
2008,6,872860052,13903447229
2008,7,804165010,14378218670
2008,8,674660164,14617752142
2008,9,494556141,14540520165
2008,10,1956533639,15116192096
2008,11,1770092128,15508111042
2008,12,1668263869,15456611805
2009,1,1571905719,15192496816
2009,2,1702454398,15006254410
2009,3,1043785149,14381392309
2009,4,903399997,14243329143
2009,5,700816631,14163492897
2009,6,746873282,14037506127
2009,7,618525330,13851866447
2009,8,687034546,13864240829
2009,9,462744846,13832429534
2009,10,2137269786,14013165681
2009,11,3299584065,15542657618
2009,12,2569699237,16444092986
2010,1,2540223651,17412410918
2010,2,1837252524,17547209044
2010,3,1406572242,17909996137
2010,4,608475829,17615071969
2010,5,352767464,17267022802
2010,6,301759668,16821909188
2010,7,405149528,16608533386
2010,8,643054105,16564552945
2010,9,816948644,16918756743
2010,10,3594727245,18376214202
2010,11,3416531504,18493161641
2010,12,2714785350,18638247754
2011,1,2709902699,18807926802
2011,2,2488744968,19459419246
2011,3,1826752627,19879599631
2011,4,960921884,20232045686
2011,5,497448258,20376726480
2011,6,458111693,20533078505
2011,7,402428555,20530357532
2011,8,634382227,20521685654
2011,9,694642976,20399379986
2011,10,2606946002,19411598743
2011,11,2426024903,18421092142
2011,12,1905712354,17612019146
2012,1,2242366369,17144482816
2012,2,2043786309,16699524157
2012,3,1630138170,16502909700
2012,4,1117738831,16659726647
2012,5,1024085540,17186363929
2012,6,801469156,17529721392
2012,7,1166010698,18293303535
2012,8,1267198087,18926119395
2012,9,1659675173,19891151592
2012,10,4671385966,21955591556
2012,11,4209675188,23739241841
2012,12,2973846322,24807375809
2013,1,3083515201,25648524641
2013,2,2283856119,25888594451
2013,3,1158214685,25416670966
2013,4,546244146,24845176281
2013,5,347483402,24168574143
2013,6,316242933,23683347920
2013,7,230334756,22747671978
2013,8,272308939,21752782830
2013,9,832007245,20925114902
2013,10,4149994287,20403723223
2013,11,4689124896,20883172931
2013,12,3696508434,21605835043
2014,1,3808069205,22330389047
2014,2,2958781283,23005314211
2014,3,1799107982,23646207508
2014,4,685288021,23785251383
2014,5,503950768,23941718749
2014,6,364025770,23989501586
2014,7,288516999,24047683829
2014,8,252164257,24027539147
2014,9,960793480,24156325382
2014,10,3868429034,23874760129
2014,11,4796051712,23981686945
2014,12,3637625551,23922804062
2015,1,3066056057,23180790914
2015,2,1961449198,22183458829
2015,3,1081619892,21465970739
2015,4,569611797,21350294515
2015,5,489803825,21336147572
2015,6,399181413,21371303215
2015,7,439471655,21522257871
2015,8,477996416,21748090030
2015,9,880577152,21667873702
2015,10,3693398810,21492843478
2015,11,3393311754,20090103520
2015,12,2460650580,18913128549
2016,1,2178001053,18025073545
2016,2,2062374601,18125998948
2016,3,956751612,18001130668
2016,4,512643030,17944161901
2016,5,357599772,17811957848
2016,6,453526359,17866302794
2016,7,1159018241,18585849380
2016,8,1723671655,19831524619
2016,9,1516753088,20467700555
2016,10,4482728117,21257029862
2016,11,4195995512,22059713620
2016,12,3285557650,22884620690
2017,1,2837746400,23544366037
2017,2,1835060288,23317051724
2017,3,1291651704,23651951816
2017,4,964459631,24103768417
2017,5,580819978,24326988623
2017,6,687560641,24561022905
2017,7,871422998,24273427662
2017,8,1133261413,23683017420
2017,9,1714391653,23880655985
2017,10,3708945739,23106873607
2017,11,3529020687,22439898782
2017,12,2377661750,21532002882
2018,1,2196527236,20890783718
2018,2,1638130524,20693853954
2018,3,1284671733,20686873983
2018,4,896365203,20618779555
2018,5,1265857407,21303816984
2018,6,1221069038,21837325381
2018,7,1258513068,22224415451
2018,8,1237523273,22328677311
2018,9,1160235948,21774521606
2018,10,1904783049,19970358916
2018,11,1694889673,18136227902
2018,12,1399186554,17157752706
2019,1,1698008495,16659233965
2019,2,1604303259,16625406700
2019,3,1388740203,16729475170
2019,4,900265075,16733375042
2019,5,873353636,16340871271
2019,6,1160314171,16280116404
2019,7,1320519403,16342122739
2019,8,1757349487,16861948953
2019,9,1373995500,17075708505
2019,10,2115640933,17286566389
2019,11,2476088336,18067765052
2019,12,2059107670,18727686168
2020,1,1954840496,18984518169
2020,2,1005152257,18385367167
2020,3,944016991,17940643955
2020,4,783880798,17824259678
2020,5,704320137,17655226179
2020,6,645792528,17140704536
2020,7,793474898,16613660031
2020,8,1646514743,16502825287
